Partition,Site,ES,EN,S,N,P[S],dS,dN,dN-dS,P [dN/dS > 1],P [dN/dS < 1],Total branch length
1,1,0,3,0,0,0,null,0,null,1,1,1.387860159854772
1,2,0.6131400973207032,2.261613862593551,2,0,0.2132843735047821,3.261897254378878,0,-2.350306859965062,0.9999999999999999,0.04549022398132752,1.387860159854772
1,3,1.375428504928542,1.105707551651774,0,0,0.5543543254231124,0,0,0,1,1,1.387860159854772
1,4,0.988160634918635,2.011839365081365,0,9,0.3293868783062116,0,4.473518192460665,3.223320563455601,0.02743142836153434,1,1.387860159854772
1,5,0.4938664226179996,2.471571714033594,0,3,0.1665407942637596,0,1.213802530173811,0.8745856140872476,0.5789659774880757,1,1.387860159854772
1,6,0.6114929431676857,1.869643113412631,0,0,0.246456836393926,0,0,0,1,1,1.387860159854772
1,7,0.9969535721773922,1.880424490813909,0,3,0.3464798682523376,0,1.595384454231131,1.149528245265052,0.2791109736979333,1,1.387860159854772
1,8,0.5653942162703847,2.434605783729615,3,8,0.1884647387567949,5.306032346403293,3.285952926532796,-1.455535275313243,0.8634603675995002,0.3443338328319927,1.387860159854772
1,9,0.5192899247919027,2.47960403550853,1,4,0.1731604823866062,1.925706531665782,1.613160788060929,-0.225199737441529,0.7911339004124083,0.6135385983496889,1.387860159854772
1,10,1,2,0,4,0.3333333333333333,0,2,1.441067376852495,0.1975308641975309,1,1.387860159854772
1,11,1.01422191553006,1.985778084469941,0,1,0.3380739718433531,0,0.5035809428156357,0.3628470341481171,0.6619260281566468,1,1.387860159854772
1,12,0.6114929431676857,2.260025260971233,0,1,0.2129510940541134,0,0.442472930400015,0.318816652569893,0.7870489059458866,1,1.387860159854772
1,13,0.6114929431676857,1.869643113412631,0,0,0.246456836393926,0,0,0,1,1,1.387860159854772
1,14,1,2,0,0,0.3333333333333333,0,0,0,1,1,1.387860159854772
1,15,0.5543872638610577,2.414926480382233,5,7,0.1867055190566733,9.018966209968914,2.898638967631033,-4.409901962297356,0.9860898228556192,0.05620096127527341,1.387860159854772
1,16,0.6714864899100128,2.290561060928661,0,6,0.2266967286598381,0,2.619445559581557,1.887398770677055,0.2138449921694136,1,1.387860159854772
1,17,0.6114929431676857,2.263261016746569,0,0,0.2127114012866426,0,0,0,1,1,1.387860159854772
1,18,0.952296219663129,2.017481371000506,0,2,0.3206624707038503,0,0.991335052084354,0.7142903015445655,0.461499478710197,1,1.387860159854772
1,19,0,1.412538707773736,0,0,0,null,0,null,1,1,1.387860159854772
1,20,0.5742128897238185,2.422147091249261,0.5,4.5,0.1916368171281412,0.870757185963706,1.857855790945815,0.7112377986881621,0.5497411356560227,0.6548303309456356,1.387860159854772
1,21,1,1.874753959914254,0,0,0.347855856168584,0,0,0,1,1,1.387860159854772
1,22,0.9852235965046706,1.889231434454221,1,3,0.3427514384095302,1.014998020294837,1.58794732359864,0.4128292747907379,0.5758526126460828,0.8133970190483257,1.387860159854772
1,23,0.7214027816018178,1.968807008775091,5,8,0.2681585592998479,6.93094083848401,4.063374401017224,-2.066178221995257,0.893034318444994,0.2538153087509933,1.387860159854772
1,24,1,1.874753959914254,0,0,0.347855856168584,0,0,0,1,1,1.387860159854772
1,25,0.8319159191474964,2.168084080852504,0,7,0.2773053063824988,0,3.228657071845459,2.326356188640296,0.1029636812525936,1,1.387860159854772
1,26,0.9880285475578817,2.011971452442119,1,3,0.3293428491859605,1.01211650460071,1.491074834266966,0.345105611876902,0.5996865316943495,0.7976970395008998,1.387860159854772
1,27,0.8972686683028365,2.102731331697164,0,5,0.2990895561009455,0,2.377859655500726,1.713327988137904,0.1691658347558847,1,1.387860159854772
1,28,1,2,0,4,0.3333333333333333,0,2,1.441067376852495,0.1975308641975309,1,1.387860159854772
1,29,1,2,0,0,0.3333333333333333,0,0,0,1,1,1.387860159854772
1,30,0.5188639434196844,2.481136056580315,0,0,0.1729546478065615,0,0,0,1,1,1.387860159854772
1,31,0.6114929431676857,2.167962334086945,0,2,0.2200045988045829,0,0.922525252654962,0.6647105229618354,0.6083928258859997,1,1.387860159854772
1,32,0.953655913695014,2.046344086304986,0,3,0.3178853045650047,0,1.466029110195733,1.056323362109581,0.3173746377152466,1,1.387860159854772
1,33,1,2,1,4,0.3333333333333333,1,2,0.7205336884262473,0.4609053497942389,0.868312757201646,1.387860159854772
1,34,0.5209049268852293,2.47909507311477,0,1,0.1736349756284098,0,0.4033729931718939,0.2906438305816802,0.8263650243715902,1,1.387860159854772
1,35,0.6114929431676857,2.263261016746569,0,0,0.2127114012866426,0,0,0,1,1,1.387860159854772
1,36,0.5363393754741459,2.463660624525853,1,0,0.1787797918247153,1.864491114634198,0,-1.343428659865344,1,0.1787797918247154,1.387860159854772
1,37,1,2,0,0,0.3333333333333333,0,0,0,1,1,1.387860159854772
1,38,0.5743501786864144,2.425649821313585,0,4,0.1914500595621382,0,1.649042646161449,1.188190780210888,0.4273929930920934,1,1.387860159854772
