Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length,MEME LogL,FEL LogL
1,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
2,1,"1.85","0.00","1.00","2.77","0.00","0.00","0.67","0.00","0.00","-10.06","-10.06"
3,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
4,1,"0.42","0.00","1.00","0.63","0.00","0.00","0.67","0.00","0.00","-6.17","-6.17"
5,1,"1.79","0.00","1.00","2.69","0.00","0.00","0.67","0.00","0.00","-8.97","-8.97"
6,1,"0.00","0.00","0.00","0.44","1.00","1.89","0.19","3.00","0.00","-19.08","-19.08"
7,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
8,1,"0.58","0.00","1.00","0.87","0.00","0.00","0.67","0.00","0.00","-11.62","-11.62"
9,1,"0.81","0.00","1.00","1.21","0.00","0.00","0.67","0.00","0.00","-6.69","-6.69"
10,1,"0.41","0.00","1.00","0.62","0.00","0.00","0.67","0.00","0.00","-6.24","-6.24"
11,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
12,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
13,1,"0.00","0.00","0.91","6.79","0.09","2.89","0.11","2.00","0.00","-18.67","-17.47"
14,1,"4.08","0.00","1.00","6.13","0.00","0.00","0.67","0.00","0.00","-16.96","-16.96"
15,1,"1.71","0.00","1.00","2.56","0.00","0.00","0.67","0.00","0.00","-28.66","-28.66"
16,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
17,1,"0.98","0.00","1.00","1.47","0.00","0.00","0.67","0.00","0.00","-10.46","-10.46"
18,1,"1.42","0.14","1.00","2.14","0.00","0.00","0.67","0.00","0.00","-15.84","-15.84"
19,1,"1.04","0.06","0.00","1.22","1.00","0.05","0.60","1.00","0.00","-37.74","-37.74"
20,1,"0.65","0.00","0.94","28.85","0.06","3.90","0.07","2.00","0.00","-25.86","-23.58"
21,1,"0.55","0.00","1.00","0.82","0.00","0.00","0.67","0.00","0.00","-15.90","-15.90"
22,1,"0.30","0.00","1.00","0.45","0.00","0.00","0.67","0.00","0.00","-7.14","-7.14"
23,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
24,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
25,1,"1.31","0.00","1.00","1.97","0.00","0.00","0.67","0.00","0.00","-29.47","-29.47"
26,1,"2.83","0.00","0.66","3.94","0.34","0.11","0.57","1.00","0.00","-46.00","-44.58"
27,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
28,1,"1.77","0.00","1.00","2.66","0.00","0.00","0.67","0.00","0.00","-9.30","-9.30"
29,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
30,1,"1.01","0.00","1.00","1.52","0.00","0.00","0.67","0.00","0.00","-14.42","-14.42"
31,1,"0.00","0.00","0.91","2.08","0.09","3.36","0.09","1.00","0.00","-12.25","-10.61"
32,1,"1.79","0.00","1.00","2.69","0.00","0.00","0.67","0.00","0.00","-14.40","-14.40"
33,1,"1.99","0.25","1.00","2.99","0.00","0.00","0.67","0.00","0.00","-24.78","-24.78"
34,1,"0.00","0.00","0.18","2.84","0.82","8.82","0.01","6.00","0.00","-33.54","-33.41"
35,1,"4.46","0.00","1.00","6.70","0.00","0.00","0.67","0.00","0.00","-18.42","-18.42"
36,1,"0.26","0.01","0.01","0.31","0.99","0.03","0.62","0.00","0.00","-20.24","-20.24"
37,1,"0.25","0.00","0.80","3.85","0.20","2.03","0.18","3.00","0.00","-25.65","-24.70"
38,1,"4.21","0.00","1.00","6.32","0.00","0.00","0.67","0.00","0.00","-25.23","-25.23"
39,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
40,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
41,1,"0.55","0.00","1.00","0.83","0.00","0.00","0.67","0.00","0.00","-10.99","-10.99"
42,1,"3.27","0.00","1.00","4.90","0.00","0.00","0.67","0.00","0.00","-15.36","-15.36"
43,1,"3.02","0.00","1.00","4.53","0.00","0.00","0.67","0.00","0.00","-13.00","-13.00"
